Dist Name,Year,SORGHUM AREA (1000 ha),PIGEONPEA AREA (1000 ha),COTTON AREA (1000 ha),SOYABEAN AREA (1000 ha),SUGARCANE AREA (1000 ha),WHEAT AREA (1000 ha),RICE AREA (1000 ha),CHICKPEA AREA (1000 ha),SORGHUM YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha),SOYABEAN YIELD (Kg per ha),SUGARCANE YIELD (Kg per ha),WHEAT YIELD (Kg per ha),RICE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),Annual_Rainfall_mm,Normal_Rainfall_mm,Rainfall_Deviation_pct,Drought_Flag,SORGHUM_yield_dev,PIGEONPEA_yield_dev,COTTON_yield_dev,SOYABEAN_yield_dev,SUGARCANE_yield_dev,WHEAT_yield_dev,RICE_yield_dev,CHICKPEA_yield_dev,avg_yield_dev,Crop_Risk_Score,Risk_Category
Bombay,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,2167,-15.5,0,0,0,0,0,0,0,0,0,0,56.76,MEDIUM
Bombay,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.7,2167,6.9,0,0,0,0,0,0,0,0,0,0,48.58,MEDIUM
Bombay,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184.6,2167,0.8,0,0,0,0,0,0,0,0,0,0,50.81,MEDIUM
Bombay,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403,2167,10.9,0,0,0,0,0,0,0,0,0,0,47.12,MEDIUM
Bombay,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184.5,2167,0.8,0,0,0,0,0,0,0,0,0,0,50.81,MEDIUM
Bombay,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.5,2167,-38,1,0,0,0,0,0,0,0,0,0,84.97,HIGH
Bombay,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.3,2167,-44,1,0,0,0,0,0,0,0,0,0,87.16,HIGH
Bombay,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219.8,2167,2.4,0,0,0,0,0,0,0,0,0,0,50.23,MEDIUM
Bombay,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3278.7,2167,51.3,0,0,0,0,0,0,0,0,0,0,32.38,LOW
Bombay,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971.1,2167,37.1,0,0,0,0,0,0,0,0,0,0,37.56,LOW
Bombay,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.8,2167,-14.6,0,0,0,0,0,0,0,0,0,0,56.43,MEDIUM
Bombay,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758.5,2167,-18.9,0,0,0,0,0,0,0,0,0,0,58,MEDIUM
Bombay,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2388.2,2167,10.2,0,0,0,0,0,0,0,0,0,0,47.38,MEDIUM
Bombay,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3112,2167,43.6,0,0,0,0,0,0,0,0,0,0,35.19,LOW
Bombay,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343.9,2167,8.2,0,0,0,0,0,0,0,0,0,0,48.11,MEDIUM
Bombay,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067.4,2167,-50.7,1,0,0,0,0,0,0,0,0,0,89.61,HIGH
Bombay,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244.9,2167,3.6,0,0,0,0,0,0,0,0,0,0,49.79,MEDIUM
Thane,1997,0.3,3,0,0,0,0.1,151.8,3.6,1666.67,500,0,0,0,1000,2355.07,583.33,2266,2156,5.1,0,1975.113618,-4.776903172,0,0,0,8.502876067,7.827175668,-20.10400667,245.820345,18.24,LOW
Thane,1998,0,3.1,0,0,0,0.1,142.1,3.8,0,451.61,0,0,0,1000,1919.77,605.26,2228.7,2156,3.4,0,-98.75568091,-13.97419989,0,0,0,8.502876067,-12.09463038,-17.10549704,-16.67839152,51.97,MEDIUM
Thane,1999,0,2.9,0,0,0,0.1,141.8,3.8,0,517.24,0,0,0,800,2129.76,657.89,2502,2156,16,0,-98.75568091,-1.500164271,0,0,0,-13.17602025,-2.48429256,-9.909347383,-15.72818817,47.25,MEDIUM
Thane,2000,0,2.9,0,0,0,0.1,141.7,3.8,0,344.83,0,0,0,1000,1237.12,526.32,1764,2156,-18.2,0,-98.75568091,-34.26945394,0,0,0,8.502876067,-43.33658052,-27.89903787,-24.46973465,60.83,MEDIUM
Thane,2001,0,2.7,0,0,0,0,141,3.8,0,444.44,0,0,0,0,2447.52,500,1967.1,2156,-8.8,0,-98.75568091,-15.33697355,0,0,0,-99.89160552,12.05821396,-31.49779635,-29.1779803,57.99,MEDIUM
Thane,2002,0,2.7,0,0,0,0.1,140.4,3.5,0,518.52,0,0,0,1000,1138.18,657.14,1380,2156,-36,1,-98.75568091,-1.256879713,0,0,0,8.502876067,-47.86463816,-10.01189559,-18.67327729,86.6,HIGH
Thane,2003,0,2.7,0,0,0,0.1,140.9,3.7,0,481.48,0,0,0,1000,2821.15,675.68,1354.1,2156,-37.2,1,-98.75568091,-8.296926632,0,0,0,8.502876067,29.15764974,-7.476903864,-9.6086232,85.89,HIGH
Thane,2004,0,2.7,0,0,0,0.1,141,3.8,0,555.56,0,0,0,1000,2378.72,657.89,2117.8,2156,-1.8,0,-98.75568091,5.783167207,0,0,0,8.502876067,8.909534301,-9.909347383,-10.68368134,53.11,MEDIUM
Thane,2005,0,3.2,0,0,0,0.2,139.5,4.1,0,593.75,0,0,0,1000,2226.52,658.54,3096.1,2156,43.6,0,-98.75568091,13.0417901,0,0,0,8.502876067,1.943995868,-9.820472269,-10.63593639,36.53,LOW
Thane,2006,0,2.9,0,0,0,0.2,140.2,4.1,0,620.69,0,0,0,1000,1835.95,731.71,2874.4,2156,33.3,0,-98.75568091,18.16216979,0,0,0,8.502876067,-15.93071074,0.184131006,-10.97965185,40.33,MEDIUM
Thane,2007,0,2.9,0,0,0,0.2,140.6,4.1,0,758.62,0,0,0,1000,2199.5,804.88,1887,2156,-12.5,0,-98.75568091,44.37798166,0,0,0,8.502876067,0.70740685,10.18873428,-4.372335256,56.22,MEDIUM
Thane,2008,0,3.2,0,0,0,0.1,140.6,4.3,0,562.5,0,0,0,1000,2157.89,697.67,2124.7,2156,-1.5,0,-98.75568091,7.102225674,0,0,0,8.502876067,-1.196903624,-4.470190375,-11.10220915,53.05,MEDIUM
Thane,2009,0,3.5,0,0,0,0.1,138.6,4.4,0,840,0,0,0,800,2097.84,663.64,2029.5,2156,-5.9,0,-98.75568091,59.84555775,0,0,0,-13.17602025,-3.945133472,-9.123144447,-8.144302666,54.28,MEDIUM
Thane,2010,0,3.43,0,0,0,0.1,138.3,4.3,0,460.64,0,0,0,1500,2028.78,865.12,3072.5,2156,42.5,0,-98.75568091,-12.25790335,0,0,0,62.70011686,-7.105712212,18.42540643,-4.624221648,36.18,LOW
Thane,2011,0,3.4,0,0,0,0.1,140.4,4.2,0,632.35,0,0,0,1000,2450,869.05,1791.8,2156,-16.9,0,-98.75568091,20.37834007,0,0,0,8.502876067,12.17171288,18.96275905,-4.842499105,57.88,MEDIUM
Thane,2012,0,2.7,0,0,0,0,139.6,2.5,0,148.15,0,0,0,0,2599.86,680,1390.4,2156,-35.5,1,-98.75568091,-71.65164692,0,0,0,-99.89160552,19.03015959,-6.88622618,-32.26937499,88.13,HIGH
Thane,2013,0,2.8,0,0,0,0,139.6,3.3,0,535.71,0,0,0,0,2392.55,1181.82,3332.9,2156,54.6,0,-98.75568091,2.010355885,0,0,0,-99.89160552,9.542473832,61.72809684,-15.67079498,33.15,LOW
